# cam @ 0x815a9224
t	mode	ratio	E	aCnt	eCnt	dCnt	dLast	cCnt	cLast	posTy	u18y	eyeY	atY
  16.55	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.60	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.65	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.71	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.76	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.81	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.86	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.91	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  16.97	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.02	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.07	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.12	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.18	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.23	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.28	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.33	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.39	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.44	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.50	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
  17.55	0	-0.000	8887	2422472832	2087191206	2690908578	65428304182531588096	2959344034	4652310027927907723342638929661657088	444	46	444	790
