class,kind,usa_addr,enclosing_func,func_name,note
SUSPECT,setFrameRate,0x8021a2bc,0x8021a118,,raw rate <- constant 1.81792e+31 (4x fast at 120fps)  [r2-0x18e8=0x80415298]
SUSPECT,setFrameRate,0x8021a314,0x8021a118,,raw rate <- constant 1.81792e+31 (4x fast at 120fps)  [r2-0x18e8=0x80415298]
SUSPECT,getFrameCtrl+stfs,0x80240654,0x802405f8,,raw rate <- constant 0.99 (4x fast at 120fps)  [r2-0x1468=0x80415718]
SUSPECT,getFrameCtrl+stfs,0x80240664,0x802405f8,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x1498=0x804156e8]
SUSPECT,getFrameCtrl+stfs,0x80240690,0x802405f8,,raw rate <- constant 0.99 (4x fast at 120fps)  [r2-0x1468=0x80415718]
SUSPECT,getFrameCtrl+stfs,0x802406a0,0x802405f8,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x1498=0x804156e8]
SUSPECT,getFrameCtrl+stfs,0x80240adc,0x80240a58,,raw rate <- constant 0.99 (4x fast at 120fps)  [r2-0x1468=0x80415718]
SUSPECT,getFrameCtrl+stfs,0x80240aec,0x80240a58,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x1498=0x804156e8]
SUSPECT,getFrameCtrl+stfs,0x80240b18,0x80240a58,,raw rate <- constant 0.99 (4x fast at 120fps)  [r2-0x1468=0x80415718]
SUSPECT,getFrameCtrl+stfs,0x80240b28,0x80240a58,,raw rate <- constant 176 (4x fast at 120fps)  [r2-0x1498=0x804156e8]
SUSPECT,getFrameCtrl+stfs,0x80244bc8,0x80244800,,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
SUSPECT,getFrameCtrl+stfs,0x802472a8,0x80246578,,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
SUSPECT,getFrameCtrl+stfs,0x802473a8,0x80246578,,raw rate <- constant nan (4x fast at 120fps)  [r2-0x110c=0x80415a74]
SUSPECT,getFrameCtrl+stfs,0x80270a0c,0x8027097c,,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
SUSPECT,getFrameCtrl+stfs,0x802710fc,0x80270b00,,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
SUSPECT,getFrameCtrl+stfs,0x8027110c,0x80270b00,,raw rate <- constant 0.00549316 (4x fast at 120fps)  [r2-0xb30=0x80416050]
SUSPECT,getFrameCtrl+stfs,0x80271ab4,0x80271a10,,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
SUSPECT,getFrameCtrl+stfs,0x80271ac8,0x80271a10,,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
SUSPECT,getFrameCtrl+stfs,0x80271b84,0x80271a10,,raw rate <- constant 20 (4x fast at 120fps)  [r2-0xaf0=0x80416090]
SUSPECT,getFrameCtrl+stfs,0x80284ec0,0x80284db8,,raw rate <- constant 30 (4x fast at 120fps)  [r2-0x6c0=0x804164c0]
REVIEW,getFrameCtrl+stfs,0x8000aff0,0x8000af8c,,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x8000bbf0,0x8000bb7c,,"computed rate (fmuls f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x8004f028,0x8004ef94,,"computed rate (fadds f1,f0); AnmFrameRate in block — verify scaling/rate²"
REVIEW,getFrameCtrl+stfs,0x80098050,0x80097ba8,,rate f31 source not resolved in block
